Nome;Partido;UF;Tipo_de_Despesa;Valor;Gastos;
JÉSSICA SALES;MDB;AC;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;108500;108500;
JÉSSICA SALES;MDB;AC;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;49400;49400;
JÉSSICA SALES;MDB;AC;EMISSÃO BILHETE AÉREO;39955;39955;
JÉSSICA SALES;MDB;AC;COMBUSTÍVEIS E LUBRIFICANTES.;28463;28463;
JÉSSICA SALES;MDB;AC;LOCAÇÃO OU FRETAMENTO DE AERONAVES;6500;6500;
JÉSSICA SALES;MDB;AC;PASSAGENS AÉREAS;1960;1960;
JÉSSICA SALES;MDB;AC;TELEFONIA;274;274;
JÉSSICA SALES;MDB;AC;SERVIÇOS POSTAIS;217;217;
JÉSSICA SALES;MDB;AC;Total;235270;0;
HILDO ROCHA;MDB;MA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;160915;160915;
HILDO ROCHA;MDB;MA;EMISSÃO BILHETE AÉREO;28824;28824;
HILDO ROCHA;MDB;MA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;23000;23000;
HILDO ROCHA;MDB;MA;COMBUSTÍVEIS E LUBRIFICANTES.;7472;7472;
HILDO ROCHA;MDB;MA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2542;2542;
HILDO ROCHA;MDB;MA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2458;2458;
HILDO ROCHA;MDB;MA;ASSINATURA DE PUBLICAÇÕES;2310;2310;
HILDO ROCHA;MDB;MA;TELEFONIA;515;515;
HILDO ROCHA;MDB;MA;SERVIÇOS POSTAIS;161;161;
HILDO ROCHA;MDB;MA;Total;228196;0;
HIRAN GONÇALVES;PP;RR;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;71010;71010;
HIRAN GONÇALVES;PP;RR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;50900;50900;
HIRAN GONÇALVES;PP;RR;EMISSÃO BILHETE AÉREO;30715;30715;
HIRAN GONÇALVES;PP;RR;COMBUSTÍVEIS E LUBRIFICANTES.;25092;25092;
HIRAN GONÇALVES;PP;RR;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;20000;20000;
HIRAN GONÇALVES;PP;RR;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;18512;18512;
HIRAN GONÇALVES;PP;RR;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;10000;10000;
HIRAN GONÇALVES;PP;RR;SERVIÇOS POSTAIS;578;578;
HIRAN GONÇALVES;PP;RR;TELEFONIA;550;550;
HIRAN GONÇALVES;PP;RR;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;227;227;
HIRAN GONÇALVES;PP;RR;Total;227584;0;
VICENTINHO JÚNIOR;PL;TO;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;175000;175000;
VICENTINHO JÚNIOR;PL;TO;COMBUSTÍVEIS E LUBRIFICANTES.;22056;22056;
VICENTINHO JÚNIOR;PL;TO;EMISSÃO BILHETE AÉREO;18190;18190;
VICENTINHO JÚNIOR;PL;TO;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;4509;4509;
VICENTINHO JÚNIOR;PL;TO;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2050;2050;
VICENTINHO JÚNIOR;PL;TO;TELEFONIA;1095;1095;
VICENTINHO JÚNIOR;PL;TO;SERVIÇOS POSTAIS;493;493;
VICENTINHO JÚNIOR;PL;TO;Total;223394;0;
WELLINGTON ROBERTO;PL;PB;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;167400;167400;
WELLINGTON ROBERTO;PL;PB;EMISSÃO BILHETE AÉREO;35419;35419;
WELLINGTON ROBERTO;PL;PB;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;5000;5000;
WELLINGTON ROBERTO;PL;PB;COMBUSTÍVEIS E LUBRIFICANTES.;3283;3283;
WELLINGTON ROBERTO;PL;PB;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2756;2756;
WELLINGTON ROBERTO;PL;PB;SERVIÇOS POSTAIS;2541;2541;
WELLINGTON ROBERTO;PL;PB;TELEFONIA;1650;1650;
WELLINGTON ROBERTO;PL;PB;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;1105;1105;
WELLINGTON ROBERTO;PL;PB;PASSAGENS AÉREAS;424;424;
WELLINGTON ROBERTO;PL;PB;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;268;268;
WELLINGTON ROBERTO;PL;PB;Total;219845;0;
EDIO LOPES;PL;RR;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;81100;81100;
EDIO LOPES;PL;RR;EMISSÃO BILHETE AÉREO;63262;63262;
EDIO LOPES;PL;RR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;37500;37500;
EDIO LOPES;PL;RR;COMBUSTÍVEIS E LUBRIFICANTES.;26073;26073;
EDIO LOPES;PL;RR;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;10800;10800;
EDIO LOPES;PL;RR;SERVIÇOS POSTAIS;575;575;
EDIO LOPES;PL;RR;TELEFONIA;510;510;
EDIO LOPES;PL;RR;Total;219820;0;
HÉLIO LEITE;DEM;PA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;80500;80500;
HÉLIO LEITE;DEM;PA;EMISSÃO BILHETE AÉREO;36436;36436;
HÉLIO LEITE;DEM;PA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;30000;30000;
HÉLIO LEITE;DEM;PA;COMBUSTÍVEIS E LUBRIFICANTES.;28552;28552;
HÉLIO LEITE;DEM;PA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;18000;18000;
HÉLIO LEITE;DEM;PA;LOCAÇÃO OU FRETAMENTO DE AERONAVES;10800;10800;
HÉLIO LEITE;DEM;PA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;8809;8809;
HÉLIO LEITE;DEM;PA;TELEFONIA;1799;1799;
HÉLIO LEITE;DEM;PA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;1150;1150;
HÉLIO LEITE;DEM;PA;SERVIÇOS POSTAIS;928;928;
HÉLIO LEITE;DEM;PA;Total;216974;0;
RICARDO TEOBALDO;PODE;PE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;62852;62852;
RICARDO TEOBALDO;PODE;PE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;49920;49920;
RICARDO TEOBALDO;PODE;PE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;47969;47969;
RICARDO TEOBALDO;PODE;PE;EMISSÃO BILHETE AÉREO;25204;25204;
RICARDO TEOBALDO;PODE;PE;COMBUSTÍVEIS E LUBRIFICANTES.;21265;21265;
RICARDO TEOBALDO;PODE;PE;TELEFONIA;7104;7104;
RICARDO TEOBALDO;PODE;PE;ASSINATURA DE PUBLICAÇÕES;1454;1454;
RICARDO TEOBALDO;PODE;PE;SERVIÇOS POSTAIS;213;213;
RICARDO TEOBALDO;PODE;PE;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;66;66;
RICARDO TEOBALDO;PODE;PE;Total;216047;0;
JHONATAN DE JESUS;PRB;RR;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;64200;64200;
JHONATAN DE JESUS;PRB;RR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;57000;57000;
JHONATAN DE JESUS;PRB;RR;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;48000;48000;
JHONATAN DE JESUS;PRB;RR;EMISSÃO BILHETE AÉREO;33380;33380;
JHONATAN DE JESUS;PRB;RR;COMBUSTÍVEIS E LUBRIFICANTES.;8600;8600;
JHONATAN DE JESUS;PRB;RR;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;3581;3581;
JHONATAN DE JESUS;PRB;RR;TELEFONIA;303;303;
JHONATAN DE JESUS;PRB;RR;SERVIÇOS POSTAIS;227;227;
JHONATAN DE JESUS;PRB;RR;Total;215291;0;
ENIO VERRI;PT;PR;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;74540;74540;
ENIO VERRI;PT;PR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;44000;44000;
ENIO VERRI;PT;PR;EMISSÃO BILHETE AÉREO;33842;33842;
ENIO VERRI;PT;PR;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;25000;25000;
ENIO VERRI;PT;PR;COMBUSTÍVEIS E LUBRIFICANTES.;18957;18957;
ENIO VERRI;PT;PR;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;11423;11423;
ENIO VERRI;PT;PR;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;1526;1526;
ENIO VERRI;PT;PR;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;1455;1455;
ENIO VERRI;PT;PR;TELEFONIA;1174;1174;
ENIO VERRI;PT;PR;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;758;758;
ENIO VERRI;PT;PR;SERVIÇOS POSTAIS;102;102;
ENIO VERRI;PT;PR;Total;212775;0;
TADEU ALENCAR;PSB;PE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;54000;54000;
TADEU ALENCAR;PSB;PE;EMISSÃO BILHETE AÉREO;44756;44756;
TADEU ALENCAR;PSB;PE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;35290;35290;
TADEU ALENCAR;PSB;PE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;28000;28000;
TADEU ALENCAR;PSB;PE;COMBUSTÍVEIS E LUBRIFICANTES.;16428;16428;
TADEU ALENCAR;PSB;PE;PASSAGENS AÉREAS;12747;12747;
TADEU ALENCAR;PSB;PE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;7484;7484;
TADEU ALENCAR;PSB;PE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;7000;7000;
TADEU ALENCAR;PSB;PE;TELEFONIA;2812;2812;
TADEU ALENCAR;PSB;PE;ASSINATURA DE PUBLICAÇÕES;1653;1653;
TADEU ALENCAR;PSB;PE;SERVIÇOS POSTAIS;1385;1385;
TADEU ALENCAR;PSB;PE;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;1161;1161;
TADEU ALENCAR;PSB;PE;Total;212717;0;
ANDRÉ FIGUEIREDO;PDT;CE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;56509;56509;
ANDRÉ FIGUEIREDO;PDT;CE;EMISSÃO BILHETE AÉREO;43470;43470;
ANDRÉ FIGUEIREDO;PDT;CE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;41902;41902;
ANDRÉ FIGUEIREDO;PDT;CE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;24570;24570;
ANDRÉ FIGUEIREDO;PDT;CE;COMBUSTÍVEIS E LUBRIFICANTES.;18728;18728;
ANDRÉ FIGUEIREDO;PDT;CE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;18075;18075;
ANDRÉ FIGUEIREDO;PDT;CE;TELEFONIA;4478;4478;
ANDRÉ FIGUEIREDO;PDT;CE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;3692;3692;
ANDRÉ FIGUEIREDO;PDT;CE;SERVIÇOS POSTAIS;125;125;
ANDRÉ FIGUEIREDO;PDT;CE;Total;211549;0;
MARIA DO ROSÁRIO;PT;RS;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;55614;55614;
MARIA DO ROSÁRIO;PT;RS;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;38632;38632;
MARIA DO ROSÁRIO;PT;RS;EMISSÃO BILHETE AÉREO;26924;26924;
MARIA DO ROSÁRIO;PT;RS;COMBUSTÍVEIS E LUBRIFICANTES.;23337;23337;
MARIA DO ROSÁRIO;PT;RS;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;22681;22681;
MARIA DO ROSÁRIO;PT;RS;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;16800;16800;
MARIA DO ROSÁRIO;PT;RS;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;12251;12251;
MARIA DO ROSÁRIO;PT;RS;TELEFONIA;6684;6684;
MARIA DO ROSÁRIO;PT;RS;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;2825;2825;
MARIA DO ROSÁRIO;PT;RS;SERVIÇOS POSTAIS;2233;2233;
MARIA DO ROSÁRIO;PT;RS;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;1265;1265;
MARIA DO ROSÁRIO;PT;RS;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;716;716;
MARIA DO ROSÁRIO;PT;RS;Total;209963;0;
DOMINGOS NETO;PSD;CE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;152000;152000;
DOMINGOS NETO;PSD;CE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;33000;33000;
DOMINGOS NETO;PSD;CE;EMISSÃO BILHETE AÉREO;24684;24684;
DOMINGOS NETO;PSD;CE;TELEFONIA;152;152;
DOMINGOS NETO;PSD;CE;SERVIÇOS POSTAIS;53;53;
DOMINGOS NETO;PSD;CE;Total;209890;0;
BETO FARO;PT;PA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;48720;48720;
BETO FARO;PT;PA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;40000;40000;
BETO FARO;PT;PA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;33000;33000;
BETO FARO;PT;PA;EMISSÃO BILHETE AÉREO;32832;32832;
BETO FARO;PT;PA;COMBUSTÍVEIS E LUBRIFICANTES.;28013;28013;
BETO FARO;PT;PA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;25765;25765;
BETO FARO;PT;PA;SERVIÇOS POSTAIS;597;597;
BETO FARO;PT;PA;TELEFONIA;249;249;
BETO FARO;PT;PA;Total;209176;0;
FERNANDO RODOLFO;PL;PE;PASSAGENS AÉREAS;59095;59095;
FERNANDO RODOLFO;PL;PE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;51220;51220;
FERNANDO RODOLFO;PL;PE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;36000;36000;
FERNANDO RODOLFO;PL;PE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;15800;15800;
FERNANDO RODOLFO;PL;PE;COMBUSTÍVEIS E LUBRIFICANTES.;14138;14138;
FERNANDO RODOLFO;PL;PE;EMISSÃO BILHETE AÉREO;10664;10664;
FERNANDO RODOLFO;PL;PE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;6396;6396;
FERNANDO RODOLFO;PL;PE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;5650;5650;
FERNANDO RODOLFO;PL;PE;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;5000;5000;
FERNANDO RODOLFO;PL;PE;SERVIÇOS POSTAIS;2550;2550;
FERNANDO RODOLFO;PL;PE;TELEFONIA;1861;1861;
FERNANDO RODOLFO;PL;PE;Total;208374;0;
MARX BELTRÃO;PSD;AL;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;161200;161200;
MARX BELTRÃO;PSD;AL;EMISSÃO BILHETE AÉREO;35096;35096;
MARX BELTRÃO;PSD;AL;COMBUSTÍVEIS E LUBRIFICANTES.;7873;7873;
MARX BELTRÃO;PSD;AL;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;674;674;
MARX BELTRÃO;PSD;AL;SERVIÇOS POSTAIS;307;307;
MARX BELTRÃO;PSD;AL;TELEFONIA;67;67;
MARX BELTRÃO;PSD;AL;Total;205217;0;
JOSÉ AIRTON FÉLIX CIRILO;PT;CE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;77660;77660;
JOSÉ AIRTON FÉLIX CIRILO;PT;CE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;38139;38139;
JOSÉ AIRTON FÉLIX CIRILO;PT;CE;EMISSÃO BILHETE AÉREO;35786;35786;
JOSÉ AIRTON FÉLIX CIRILO;PT;CE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;25000;25000;
JOSÉ AIRTON FÉLIX CIRILO;PT;CE;COMBUSTÍVEIS E LUBRIFICANTES.;23200;23200;
JOSÉ AIRTON FÉLIX CIRILO;PT;CE;PASSAGENS AÉREAS;1818;1818;
JOSÉ AIRTON FÉLIX CIRILO;PT;CE;TELEFONIA;1704;1704;
JOSÉ AIRTON FÉLIX CIRILO;PT;CE;SERVIÇOS POSTAIS;1025;1025;
JOSÉ AIRTON FÉLIX CIRILO;PT;CE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;762;762;
JOSÉ AIRTON FÉLIX CIRILO;PT;CE;Total;205093;0;
DAMIÃO FELICIANO;PDT;PB;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;95000;95000;
DAMIÃO FELICIANO;PDT;PB;EMISSÃO BILHETE AÉREO;38949;38949;
DAMIÃO FELICIANO;PDT;PB;COMBUSTÍVEIS E LUBRIFICANTES.;28660;28660;
DAMIÃO FELICIANO;PDT;PB;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;21525;21525;
DAMIÃO FELICIANO;PDT;PB;TELEFONIA;8388;8388;
DAMIÃO FELICIANO;PDT;PB;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;4310;4310;
DAMIÃO FELICIANO;PDT;PB;ASSINATURA DE PUBLICAÇÕES;3744;3744;
DAMIÃO FELICIANO;PDT;PB;SERVIÇOS POSTAIS;1980;1980;
DAMIÃO FELICIANO;PDT;PB;PASSAGENS AÉREAS;1568;1568;
DAMIÃO FELICIANO;PDT;PB;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;240;240;
DAMIÃO FELICIANO;PDT;PB;Total;204363;0;
FABIO REIS;MDB;SE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;55000;55000;
FABIO REIS;MDB;SE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;48000;48000;
FABIO REIS;MDB;SE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;29500;29500;
FABIO REIS;MDB;SE;EMISSÃO BILHETE AÉREO;27361;27361;
FABIO REIS;MDB;SE;COMBUSTÍVEIS E LUBRIFICANTES.;19674;19674;
FABIO REIS;MDB;SE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;14600;14600;
FABIO REIS;MDB;SE;TELEFONIA;9176;9176;
FABIO REIS;MDB;SE;SERVIÇOS POSTAIS;772;772;
FABIO REIS;MDB;SE;Total;204083;0;
VANDER LOUBET;PT;MS;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;124050;124050;
VANDER LOUBET;PT;MS;EMISSÃO BILHETE AÉREO;18999;18999;
VANDER LOUBET;PT;MS;COMBUSTÍVEIS E LUBRIFICANTES.;18631;18631;
VANDER LOUBET;PT;MS;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;15650;15650;
VANDER LOUBET;PT;MS;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;12590;12590;
VANDER LOUBET;PT;MS;PASSAGENS AÉREAS;8804;8804;
VANDER LOUBET;PT;MS;SERVIÇOS POSTAIS;2735;2735;
VANDER LOUBET;PT;MS;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;1319;1319;
VANDER LOUBET;PT;MS;TELEFONIA;631;631;
VANDER LOUBET;PT;MS;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;229;229;
VANDER LOUBET;PT;MS;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;126;126;
VANDER LOUBET;PT;MS;Total;203763;0;
BOSCO SARAIVA;SOLIDARIEDADE;AM;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;47800;47800;
BOSCO SARAIVA;SOLIDARIEDADE;AM;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;34798;34798;
BOSCO SARAIVA;SOLIDARIEDADE;AM;EMISSÃO BILHETE AÉREO;31572;31572;
BOSCO SARAIVA;SOLIDARIEDADE;AM;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;25176;25176;
BOSCO SARAIVA;SOLIDARIEDADE;AM;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;20647;20647;
BOSCO SARAIVA;SOLIDARIEDADE;AM;LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;20400;20400;
BOSCO SARAIVA;SOLIDARIEDADE;AM;COMBUSTÍVEIS E LUBRIFICANTES.;15708;15708;
BOSCO SARAIVA;SOLIDARIEDADE;AM;TELEFONIA;2826;2826;
BOSCO SARAIVA;SOLIDARIEDADE;AM;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;1457;1457;
BOSCO SARAIVA;SOLIDARIEDADE;AM;SERVIÇOS POSTAIS;1057;1057;
BOSCO SARAIVA;SOLIDARIEDADE;AM;PASSAGENS AÉREAS;490;490;
BOSCO SARAIVA;SOLIDARIEDADE;AM;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;342;342;
BOSCO SARAIVA;SOLIDARIEDADE;AM;Total;202271;0;
VAIDON OLIVEIRA;PROS;CE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;60000;60000;
VAIDON OLIVEIRA;PROS;CE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;59600;59600;
VAIDON OLIVEIRA;PROS;CE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;36000;36000;
VAIDON OLIVEIRA;PROS;CE;EMISSÃO BILHETE AÉREO;20572;20572;
VAIDON OLIVEIRA;PROS;CE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;18410;18410;
VAIDON OLIVEIRA;PROS;CE;COMBUSTÍVEIS E LUBRIFICANTES.;5802;5802;
VAIDON OLIVEIRA;PROS;CE;TELEFONIA;539;539;
VAIDON OLIVEIRA;PROS;CE;Total;200923;0;
RONALDO CARLETTO;PP;BA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;82000;82000;
RONALDO CARLETTO;PP;BA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;69500;69500;
RONALDO CARLETTO;PP;BA;EMISSÃO BILHETE AÉREO;27904;27904;
RONALDO CARLETTO;PP;BA;COMBUSTÍVEIS E LUBRIFICANTES.;16696;16696;
RONALDO CARLETTO;PP;BA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;876;876;
RONALDO CARLETTO;PP;BA;SERVIÇOS POSTAIS;567;567;
RONALDO CARLETTO;PP;BA;TELEFONIA;540;540;
RONALDO CARLETTO;PP;BA;PASSAGENS AÉREAS;0;0;
RONALDO CARLETTO;PP;BA;Total;198083;0;
JOSÉ GUIMARÃES;PT;CE;EMISSÃO BILHETE AÉREO;48954;48954;
JOSÉ GUIMARÃES;PT;CE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;39400;39400;
JOSÉ GUIMARÃES;PT;CE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;34628;34628;
JOSÉ GUIMARÃES;PT;CE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;23914;23914;
JOSÉ GUIMARÃES;PT;CE;COMBUSTÍVEIS E LUBRIFICANTES.;22000;22000;
JOSÉ GUIMARÃES;PT;CE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;18000;18000;
JOSÉ GUIMARÃES;PT;CE;TELEFONIA;5280;5280;
JOSÉ GUIMARÃES;PT;CE;PASSAGENS AÉREAS;3577;3577;
JOSÉ GUIMARÃES;PT;CE;SERVIÇOS POSTAIS;1391;1391;
JOSÉ GUIMARÃES;PT;CE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;759;759;
JOSÉ GUIMARÃES;PT;CE;Total;197902;0;
BILAC PINTO;DEM;MG;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;123000;123000;
BILAC PINTO;DEM;MG;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;22954;22954;
BILAC PINTO;DEM;MG;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;13200;13200;
BILAC PINTO;DEM;MG;PASSAGENS AÉREAS;10232;10232;
BILAC PINTO;DEM;MG;TELEFONIA;8963;8963;
BILAC PINTO;DEM;MG;COMBUSTÍVEIS E LUBRIFICANTES.;8206;8206;
BILAC PINTO;DEM;MG;EMISSÃO BILHETE AÉREO;5505;5505;
BILAC PINTO;DEM;MG;SERVIÇOS POSTAIS;2396;2396;
BILAC PINTO;DEM;MG;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;1512;1512;
BILAC PINTO;DEM;MG;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;640;640;
BILAC PINTO;DEM;MG;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;151;151;
BILAC PINTO;DEM;MG;Total;196758;0;
JÚLIO CESAR;PSD;PI;EMISSÃO BILHETE AÉREO;49731;49731;
JÚLIO CESAR;PSD;PI;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;42500;42500;
JÚLIO CESAR;PSD;PI;COMBUSTÍVEIS E LUBRIFICANTES.;35070;35070;
JÚLIO CESAR;PSD;PI;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;24000;24000;
JÚLIO CESAR;PSD;PI;LOCAÇÃO OU FRETAMENTO DE AERONAVES;15300;15300;
JÚLIO CESAR;PSD;PI;TELEFONIA;11296;11296;
JÚLIO CESAR;PSD;PI;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;8000;8000;
JÚLIO CESAR;PSD;PI;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;5000;5000;
JÚLIO CESAR;PSD;PI;ASSINATURA DE PUBLICAÇÕES;1800;1800;
